id,lat,lon,operador,color,recogida,ref,nombre,direccion,barrio,ciudad,cp,provincia
26580132,43.182968,-2.476844,Correos,,,,,"Romualdo Galdos kalea, Otaola-Kiñarra",Otaola-Kiñarra,Éibar,20600,Guipúzcoa
26593944,43.183778,-2.475279,Correos,,Mo-Sa 12:30,,,"Isasi kalea, Otaola-Kiñarra",Otaola-Kiñarra,Éibar,20600,Guipúzcoa
26835586,42.907379,-2.064849,Correos,,,,,Kale Nagusia,,Echarri Aranaz,31820,Navarra
29396856,43.649766,1.516592,Correos,,Mo-Sa 09:30,,,Boulevard de Ratalens,,Saint-Jean,31240,Occitania
35345786,39.649622,3.431687,Correos,,,,,Via de les Cales,,sa Costa de Canyamel,07589,Islas Baleares
35345912,39.656531,3.438731,Correos,,,,,Via de Melesigeni,,Canyamel,07589,Islas Baleares
35346353,39.657771,3.440604,Correos,,Mo-Fr 13:00; Sa 13:00; Su 13:00,,,"Via de Costa i Llobera, Canyamel Coves",Canyamel Coves,Canyamel,07589,Islas Baleares
83533572,37.186897,-3.603627,Correos,,Mo-Fr 13:00,,,"Plaza de San Isidro, Barrio del Hospital Real",Barrio del Hospital Real,Granada,18012,Granada
105440559,43.629492,3.870224,Correos,,Mo-Sa 12:30,,,"Place de la Voie Domitienne, Hôpitaux-Facultés",Hôpitaux-Facultés,Montpellier,34090,Occitania
105964248,43.621801,3.877171,Correos,,"Mo-Fr 09:00, Sa 08:00",,,"Rue des Loutres, Centre",Centre,Montpellier,34092,Occitania
117981264,43.623293,3.873607,Correos,,,,,"Rue du Pré aux Clercs, Centre",Centre,Montpellier,34092,Occitania
119315356,43.626463,3.867335,Correos,,,,,"Rue Henri Dunant, Centre",Centre,Montpellier,34090,Occitania
122368678,39.455237,-0.405373,Correos,,,,,"Calle de José Andreu Alabarta, Patraix",Patraix,Valencia,46014,Valencia
133573108,42.783506,-8.886526,Correos,,,,,"Rúa do Escultor Ferreiro, San Lázaro",San Lázaro,Noia,15200,Galicia
143097955,40.484766,-3.688789,Correos,,,,,"Calle de San Dacio, Fuencarral",Fuencarral,Madrid,28034,Comunidad de Madrid
150760840,40.44854,-3.716618,Correos,,,,,"Paseo de Juan XXIII, Moncloa-Aravaca",Moncloa-Aravaca,Madrid,28040,Comunidad de Madrid
167302668,40.413602,-3.69545,Correos,,,,,"Calle de Lope de Vega, Barrio de las Letras",Barrio de las Letras,Madrid,28014,Comunidad de Madrid
178820888,40.415226,-3.712563,Correos,,Mo-Fr 17:00,,,"Calle Mayor, Barrio de la Latina",Barrio de la Latina,Madrid,28013,Comunidad de Madrid
178821214,40.416344,-3.70593,Correos,,Mo-Fr 17:00,,,"Calle Mayor, Barrio de los Austrias",Barrio de los Austrias,Madrid,28013,Comunidad de Madrid
184049563,40.420768,-3.706957,Correos,,,,,"Calle de Silva, Palacio",Palacio,Madrid,28013,Comunidad de Madrid
191953582,41.375167,2.16919,Correos,,,,,"Avinguda del Paral·lel, Ciutat Vella",Ciutat Vella,Barcelona,08001,Barcelona
205292550,41.268636,2.011164,Correos,,Mo-Fr 13:00,,,"Avinguda d'Europa, Gavà Mar",Gavà Mar,Gavà,08850,Barcelona
206331113,42.60731,2.397918,Correos,,,,,Avenue d'En Cassa,,Ria-Sirach,66500,Occitania
211213414,40.434945,-3.627268,Correos,,,,,"Calle de Julián Camarillo, San Blas - Canillejas",San Blas - Canillejas,Madrid,28037,Comunidad de Madrid
235272270,43.3835,-3.738251,Correos,,,,,"Parque Monseñor de Cos Pérez, Los Tilos",Los Tilos,Medio Cudeyo,39710,Cantabria
240754407,43.599176,1.428391,Correos,,"Mo-Fr 12:00, Sa 09:00",,,"Place du Ravelin 8, Saint-Cyprien",Saint-Cyprien,Toulouse,31300,Occitania
244013205,43.63624,3.879408,Correos,,,,,"Allée Jean Rostand, Hôpitaux-Facultés",Hôpitaux-Facultés,Montpellier,34098,Occitania
246571249,43.598146,1.432163,Correos,,Mo-Fr 12:00; Sa 09:00,,,"Place Intérieure Saint-Cyprien 11 bis, Saint-Cyprien",Saint-Cyprien,Toulouse,31300,Occitania
247081408,43.601714,1.439739,Correos,,,,,"Place de la Daurade, Capitole / Arnaud Bernard / Carmes",Capitole / Arnaud Bernard / Carmes,Toulouse,31000,Occitania
247092023,43.615019,3.886826,Correos,,,,,"Avenue de Saint-Maur, Centre",Centre,Montpellier,34064,Occitania
247118709,43.621667,3.894555,Correos,,,,,"Avenue de Saint-Maur, Centre",Centre,Montpellier,34000,Occitania
247118780,43.618501,3.894128,Correos,,,,,"Avenue Saint-André de Novigens, Centre",Centre,Montpellier,34064,Occitania
247324368,43.577977,3.835031,Correos,,,,,"Route de Montpellier, Les Coteaux",Les Coteaux,Saint-Jean-de-Védas,34430,Occitania
247324380,43.581135,3.834076,Correos,,,,,"Rue Engabanac, Louise Michel",Louise Michel,Saint-Jean-de-Védas,34430,Occitania
247688933,43.643193,1.521988,Correos,,Mo-Sa 09:00,,,Route de Lavaur,,Montrabé,31850,Occitania
247775580,43.594667,1.457033,Correos,,"Mo-Fr 12:00, Sa 09:00",,,"Rue Bernard Mulé 2, Côte Pavée",Côte Pavée,Toulouse,31400,Occitania
